Title,Name_URL,Tag1,Tag2,column,Follow
AppNeta,https://angel.co/company/appneta,Vancouver,Networking,"
Jun ’14
","
62
"
Videopixie,https://angel.co/company/videopixie,San Francisco,Marketplaces,"
Nov ’13
","
656
"
Good Audience (Techstars London 2014),https://angel.co/company/goodaudience,San Francisco,Social Media Platforms,"
Nov ’13
","
148
"
Trulioo,https://angel.co/company/trulioo,Vancouver,Fraud Detection,"
Mar ’12
","
169
"
Outbound,https://angel.co/company/outbound-2,San Francisco,Small and Medium Businesses,"
Nov ’13
","
116
"
Scentbird,https://angel.co/company/scentbird-1,New York City,Beauty,"
Nov ’13
","
225
"
Ecovent Systems,https://angel.co/company/ecovent,Boston,Internet of Things,"
Nov ’13
","
300
"
Roomstorm,https://angel.co/company/roomstorm,San Francisco,Hospitality,"
Nov ’13
","
224
"
kwikdesk,https://angel.co/company/kwikdesk,Ireland,Communications Software,"
Nov ’13
","
40
"
Soothe,https://angel.co/company/soothe,Los Angeles,Marketplaces,"
Jun ’14
","
985
"
Zeplin,https://angel.co/company/zeplin,San Francisco,Product Design,"
Aug ’14
","
107
"
Koru,https://angel.co/company/koru,Seattle,Training,"
Dec ’13
","
116
"
Camoji,https://angel.co/company/camoji,San Francisco,Messaging,"
Dec ’13
","
62
"
Mapillary,https://angel.co/company/mapillary,Malmö,Maps,"
Dec ’13
","
95
"
Korbit,https://angel.co/company/korbit,Seoul,Blockchains,"
Dec ’13
","
220
"
Barn & Willow,https://angel.co/company/barn-willow,San Francisco,Custom Retail,"
Dec ’13
","
109
"
SketchDeck,https://angel.co/company/sketchdeck,Mountain View,Marketplaces,"
Dec ’13
","
648
"
Butter Systems,https://angel.co/company/butter-systems,San Francisco,Wine And Spirits,"
Aug ’13
","
399
"
Care at Hand,https://angel.co/company/care-at-hand,San Francisco,Mobile Health,"
Nov ’11
","
1144
"
boomtrain,https://angel.co/company/boomtrain,San Francisco,Personalization,"
Jul ’12
","
427
"
Ceres Imaging,https://angel.co/company/ceres-imaging,Oakland,Water,"
Dec ’13
","
763
"
Wove,https://angel.co/company/wove,San Francisco,Marketing,"
Jan ’14
","
348
"
Front,https://angel.co/company/front,San Francisco,Productivity Software,"
Jan ’14
","
695
"
PreFix,https://angel.co/company/prefixinc,Austin,Consumer,"
Jan ’14
","
19
"
Nylas,https://angel.co/company/nylas,San Francisco,Developer APIs,"
Jul ’14
","
175
"
Pillow,https://angel.co/company/pillow,San Francisco,Real Estate Investors,"
Aug ’14
","
739
"
Signifyd,https://angel.co/company/signifyd,Belfast,Fraud Detection,"
Apr ’11
","
546
"
Anaplan,https://angel.co/company/anaplan,Singapore,Sales,"
Feb ’13
","
125
"
RealtyShares,https://angel.co/company/realtyshares,San Francisco,Crowdfunding,"
Dec ’12
","
1117
"
Rekindle,https://angel.co/company/rekindle,Boston,Networking,"
Jan ’14
","
69
"
Forge,https://angel.co/company/forge-global,San Francisco,Finance Technology,"
Jan ’14
","
841
"
Thread,https://angel.co/company/thread-1,Austin,Photo Sharing,"
Mar ’14
","
137
"
Surefield,https://angel.co/company/surefield,Seattle,Computer Vision,"
Feb ’14
","
127
"
Endaga,https://angel.co/company/endaga,Oakland,Mobile Infrastructure,"
Mar ’14
","
81
"
Flipboard,https://angel.co/company/flipboard,Palo Alto,Apps,"
Oct ’12
","
539
"
AltspaceVR,https://angel.co/company/altspacevr,Virtual Worlds,,"
May ’14
","
463
"
Cratejoy,https://angel.co/company/cratejoy,Austin,E-Commerce Platforms,"
Dec ’13
","
644
"
Cheddar Up,https://angel.co/company/cheddar-up,Denver,Mobile Payments,"
Jan ’14
","
380
"
Clio - Cloud-Based Legal Technology,https://angel.co/company/clio-cloud-based-legal-technology,Burnaby,Legal,"
May ’12
","
50
"
Cornerstone OnDemand,https://angel.co/company/cornerstone-ondemand,Santa Monica,Career Management,"
Dec ’13
","
154
"
Omniata,https://angel.co/company/omniata,San Francisco,Cloud Data Services,"
Jun ’14
","
39
"
Symphony AyasdiAI,https://angel.co/company/ayasdi,Palo Alto,Data Visualization,"
Jan ’12
","
124
"
Envoy,https://angel.co/company/envoy,San Francisco,Identity Management,"
Dec ’13
","
717
"
The Human Diagnosis Project,https://angel.co/company/the-human-diagnosis-project,Earth,Open Data,"
Dec ’13
","
2848
"
Moltin,https://angel.co/company/moltin,Newcastle upon Tyne,Developer APIs,"
Dec ’13
","
329
"
Finvoice,https://angel.co/company/finvoice,San Francisco,Small and Medium Businesses,"
Nov ’14
","
113
"
Gradberry,https://angel.co/company/gradberry,San Francisco,Artificial Intelligence,"
Mar ’15
","
147
"
ALOHA,https://angel.co/company/aloha,New York City,Consumer Packaged Goods,"
Oct ’14
","
426
"
MuckerLab,https://angel.co/company/mucker-lab,Austin,B2B,"
Jun ’12
","
2537
"
Spry Health,https://angel.co/company/spryhealth,Palo Alto,Fitness,"
Sep ’13
","
648
"
HashFast,https://angel.co/company/hashfast,San Francisco,Finance Technology,"
Dec ’13
","
164
"
A Plus,https://angel.co/company/a-plus,New York City,Digital Media,"
Sep ’13
","
283
"
Mobile Action,https://angel.co/company/mobile-action,San Francisco,Mobile Advertising,"
Sep ’13
","
126
"
Amplitude,https://angel.co/company/amplitude-1,Austin,Productivity Software,"
Aug ’13
","
658
"
